Condition,Receptor,Assay Mode,Fixed Carbachol (nM),Concentration (log M),Concentration (M),Replicate,Peak Fluorescence (RFU),F0 (RFU),F0 Source,ΔF/F0,Transient Fit Method,Transient R²,PAC-3310 Activation (% Max Carbachol),Control-referenced % Inhibition,Range-referenced % Inhibition
Carbachol dose titration (M3),M3,Carbachol agonism,,-6.0,1e-06,2,92.93944700867168,40.700819672131146,Carbachol dose titration (M3) / Vehicle Control,1.2834785087217693,rise-decay fit,0.8996655969939995,,,
Carbachol dose titration (M3),M3,Carbachol agonism,,-6.0,1e-06,3,91.65119265287159,40.700819672131146,Carbachol dose titration (M3) / Vehicle Control,1.251826704994529,rise-decay fit,0.8994036425101324,,,
Carbachol dose titration (M3),M3,Carbachol agonism,,-6.0,1e-06,4,85.80679259079372,40.700819672131146,Carbachol dose titration (M3) / Vehicle Control,1.1082325437673617,rise-decay fit,0.909799660503914,,,
Carbachol dose titration (M3),M3,Carbachol agonism,,-7.0,1e-07,1,68.61608874530853,40.700819672131146,Carbachol dose titration (M3) / Vehicle Control,0.6858650341209629,rise-decay fit,0.8385031103248063,,,
Carbachol dose titration (M3),M3,Carbachol agonism,,-7.0,1e-07,2,81.43765782113314,40.700819672131146,Carbachol dose titration (M3) / Vehicle Control,1.0008849570392193,rise-decay fit,0.877516252741115,,,
Carbachol dose titration (M3),M3,Carbachol agonism,,-7.0,1e-07,3,75.9021061572428,40.700819672131146,Carbachol dose titration (M3) / Vehicle Control,0.8648790557212006,rise-decay fit,0.9102035064309559,,,
Carbachol dose titration (M3),M3,Carbachol agonism,,-7.0,1e-07,4,76.36411810331201,40.700819672131146,Carbachol dose titration (M3) / Vehicle Control,0.8762304719774575,rise-decay fit,0.8970305220656657,,,
Carbachol dose titration (M3),M3,Carbachol agonism,,-8.0,1e-08,1,47.25992841729017,40.700819672131146,Carbachol dose titration (M3) / Vehicle Control,0.16115421748250947,rise-decay fit,0.8707737555014343,,,
Carbachol dose titration (M3),M3,Carbachol agonism,,-8.0,1e-08,2,54.98652183941188,40.700819672131146,Carbachol dose titration (M3) / Vehicle Control,0.3509929844745241,rise-decay fit,0.9418100508369063,,,
Carbachol dose titration (M3),M3,Carbachol agonism,,-8.0,1e-08,3,56.00307932292042,40.700819672131146,Carbachol dose titration (M3) / Vehicle Control,0.37596932381357195,rise-decay fit,0.9747247933897041,,,
Carbachol dose titration (M3),M3,Carbachol agonism,,-8.0,1e-08,4,50.58450535237745,40.700819672131146,Carbachol dose titration (M3) / Vehicle Control,0.2428375094129592,rise-decay fit,0.9246946284474178,,,
Carbachol dose titration (M3),M3,Carbachol agonism,,-9.0,1e-09,1,45.198508720361495,40.700819672131146,Carbachol dose titration (M3) / Vehicle Control,0.1105061049006349,rise-decay fit,0.7523590768633108,,,
Carbachol dose titration (M3),M3,Carbachol agonism,,-9.0,1e-09,2,46.713424911809184,40.700819672131146,Carbachol dose titration (M3) / Vehicle Control,0.1477268833432123,rise-decay fit,0.6682626127528648,,,
Carbachol dose titration (M3),M3,Carbachol agonism,,-9.0,1e-09,3,50.515075176143334,40.700819672131146,Carbachol dose titration (M3) / Vehicle Control,0.24113164263205858,rise-decay fit,0.7313790214018193,,,
Carbachol dose titration (M3),M3,Carbachol agonism,,-9.0,1e-09,4,45.46962551757707,40.700819672131146,Carbachol dose titration (M3) / Vehicle Control,0.1171673171169878,rise-decay fit,0.5722063495523544,,,
Carbachol dose titration (M3),M3,Carbachol agonism,,-10.0,1e-10,1,43.6989344940725,40.700819672131146,Carbachol dose titration (M3) / Vehicle Control,0.07366227132752906,rise-decay fit,0.732518165159771,,,
Carbachol dose titration (M3),M3,Carbachol agonism,,-10.0,1e-10,2,47.14973234455411,40.700819672131146,Carbachol dose titration (M3) / Vehicle Control,0.15844675179450238,rise-decay fit,0.8318990925941911,,,
Carbachol dose titration (M3),M3,Carbachol agonism,,-10.0,1e-10,3,48.09112829211719,40.700819672131146,Carbachol dose titration (M3) / Vehicle Control,0.1815764075396833,rise-decay fit,0.7844367881775861,,,
Carbachol dose titration (M3),M3,Carbachol agonism,,-10.0,1e-10,4,47.538292364836224,40.700819672131146,Carbachol dose titration (M3) / Vehicle Control,0.16799348877454828,rise-decay fit,0.7247948850828898,,,
Carbachol dose titration (M3),M3,Carbachol agonism,,-11.0,1e-11,1,43.02841973826956,40.700819672131146,Carbachol dose titration (M3) / Vehicle Control,0.05718803908345318,rise-decay fit,0.7434150669503627,,,
Carbachol dose titration (M3),M3,Carbachol agonism,,-11.0,1e-11,2,45.18956882259154,40.700819672131146,Carbachol dose titration (M3) / Vehicle Control,0.11028645581636652,rise-decay fit,0.5719780935823687,,,
