Time (s),PAC-3310 Concentration (log M),Replicate,Fluorescence (RFU)
205,-7.0,4,37
210,-7.0,4,37
215,-7.0,4,37
220,-7.0,4,37
225,-7.0,4,37
230,-7.0,4,37
235,-7.0,4,37
240,-7.0,4,37
245,-7.0,4,37
250,-7.0,4,37
255,-7.0,4,36
260,-7.0,4,36
265,-7.0,4,37
270,-7.0,4,37
275,-7.0,4,36
280,-7.0,4,37
285,-7.0,4,36
290,-7.0,4,37
295,-7.0,4,36
300,-7.0,4,36
0,-8.0,1,33
6,-8.0,1,33
12,-8.0,1,34
18,-8.0,1,34
24,-8.0,1,34
30,-8.0,1,34
36,-8.0,1,34
42,-8.0,1,34
48,-8.0,1,34
54,-8.0,1,34
60,-8.0,1,35
66,-8.0,1,35
72,-8.0,1,35
78,-8.0,1,35
84,-8.0,1,35
90,-8.0,1,35
96,-8.0,1,35
102,-8.0,1,35
108,-8.0,1,35
114,-8.0,1,36
120,-8.0,1,36
126,-8.0,1,35
132,-8.0,1,36
138,-8.0,1,36
144,-8.0,1,36
150,-8.0,1,35
156,-8.0,1,36
162,-8.0,1,36
168,-8.0,1,36
174,-8.0,1,36
180,-8.0,1,36
186,-8.0,1,36
192,-8.0,1,36
198,-8.0,1,36
204,-8.0,1,36
210,-8.0,1,36
216,-8.0,1,36
222,-8.0,1,36
228,-8.0,1,36
234,-8.0,1,36
240,-8.0,1,36
246,-8.0,1,36
252,-8.0,1,35
258,-8.0,1,36
264,-8.0,1,36
270,-8.0,1,35
276,-8.0,1,36
282,-8.0,1,36
288,-8.0,1,35
294,-8.0,1,36
300,-8.0,1,36
0,-8.0,2,33
5,-8.0,2,33
10,-8.0,2,34
15,-8.0,2,34
20,-8.0,2,34
25,-8.0,2,34
30,-8.0,2,34
35,-8.0,2,34
40,-8.0,2,35
45,-8.0,2,35
50,-8.0,2,35
55,-8.0,2,35
60,-8.0,2,35
65,-8.0,2,35
70,-8.0,2,35
75,-8.0,2,36
80,-8.0,2,35
85,-8.0,2,36
90,-8.0,2,36
95,-8.0,2,36
