Condition,Receptor,Assay Mode,Fixed Carbachol (nM),Compound,Well,Plate Row,Replicate,Condition Label,Concentration (log M),Concentration (M),Corrected Fluorescence,B/B0,Measured cAMP (pmol/mL),Real-sample cAMP (pmol/mL),Standard-curve Linear Range Flag,Is Control,Normalized Response,Normalized Endpoint
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,D8,D,4,-10.0,-10.0,1e-10,0.258,0.22023809523809526,49.9516211601766,249.75810580088302,Within 20–80% B/B0,False,131.19989670790343,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,D9,D,4,-11.0,-11.0,1e-11,0.266,0.23214285714285718,45.858078002257145,229.29039001128572,Within 20–80% B/B0,False,120.44804467559034,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,E2,E,5,Vehicle Control,,,0.267,0.2336309523809524,45.38047794662172,226.90238973310858,Within 20–80% B/B0,True,119.19360935373912,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,E3,E,5,-5.0,-5.0,1e-05,0.266,0.23214285714285718,45.858078002257145,229.29039001128572,Within 20–80% B/B0,False,120.44804467559034,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,E4,E,5,-6.0,-6.0,1e-06,0.23,0.17857142857142858,69.41313437687045,347.06567188435224,Outside 20–80% B/B0,False,182.31632625524634,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,E5,E,5,-7.0,-7.0,1e-07,0.243,0.19791666666666666,59.195328918229976,295.97664459114986,Outside 20–80% B/B0,False,155.4788585290969,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,E6,E,5,-8.0,-8.0,1e-08,0.266,0.23214285714285718,45.858078002257145,229.29039001128572,Within 20–80% B/B0,False,120.44804467559034,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,E7,E,5,-9.0,-9.0,1e-09,0.233,0.1830357142857143,66.83260566740694,334.1630283370347,Outside 20–80% B/B0,False,175.5384661524133,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,E8,E,5,-10.0,-10.0,1e-10,0.269,0.23660714285714288,44.446285766146545,222.23142883073274,Within 20–80% B/B0,False,116.73991686614899,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,E9,E,5,-11.0,-11.0,1e-11,0.248,0.20535714285714285,55.854183402891515,279.27091701445755,Within 20–80% B/B0,False,146.70320848376952,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,F2,F,6,Vehicle Control,,,0.277,0.2485119047619048,40.969463240454424,204.8473162022721,Within 20–80% B/B0,True,107.6079058193046,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,F3,F,6,-5.0,-5.0,1e-05,0.266,0.23214285714285718,45.858078002257145,229.29039001128572,Within 20–80% B/B0,False,120.44804467559034,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,F4,F,6,-6.0,-6.0,1e-06,0.248,0.20535714285714285,55.854183402891515,279.27091701445755,Within 20–80% B/B0,False,146.70320848376952,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,F5,F,6,-7.0,-7.0,1e-07,0.274,0.2440476190476191,42.22681176213868,211.1340588106934,Within 20–80% B/B0,False,110.91038114121318,cAMP (% Vehicle Control)
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,PAC-3310,F6,F,6,-8.0,-8.0,1e-08,0.249,0.2068452380952381,55.21935698447689,276.0967849223845,Within 20–80% B/B0,False,145.03581193909343,cAMP (% Vehicle Control)
